freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.377e+00,6.233e+01,3.699e+00,6.941e+01
1.6,8.097e+00,4.113e+01,9.496e+00,5.872e+01
3.2,7.654e+00,2.841e+01,1.020e+01,4.627e+01
4.8,7.799e+00,4.615e+02,9.980e+00,4.793e+02
6.5,8.063e+00,1.417e+03,1.033e+01,1.435e+03
8.1,8.887e+00,2.396e+03,1.014e+01,2.415e+03
9.7,9.611e+00,3.258e+03,9.663e+00,3.278e+03
11.3,1.234e+01,3.664e+03,1.084e+01,3.687e+03
12.9,1.359e+01,5.459e+03,1.035e+01,5.483e+03
14.5,1.389e+01,7.946e+03,9.829e+00,7.970e+03
16.2,1.534e+01,1.080e+04,9.493e+00,1.082e+04
17.8,2.169e+01,1.342e+04,9.247e+00,1.345e+04
19.4,3.552e+01,1.438e+04,1.049e+01,1.443e+04
21.0,5.834e+01,1.519e+04,9.944e+00,1.526e+04
22.6,9.309e+01,1.626e+04,1.015e+01,1.636e+04
24.2,1.014e+02,1.701e+04,1.110e+01,1.712e+04
25.8,1.132e+02,1.826e+04,1.157e+01,1.839e+04
27.5,1.394e+02,1.674e+04,1.169e+01,1.689e+04
29.1,1.877e+02,1.473e+04,1.136e+01,1.493e+04
30.7,2.464e+02,1.217e+04,1.145e+01,1.243e+04
32.3,2.761e+02,9.965e+03,1.186e+01,1.025e+04
33.9,2.794e+02,1.001e+04,1.149e+01,1.030e+04
35.5,3.071e+02,1.010e+04,1.474e+01,1.042e+04
37.2,3.483e+02,1.039e+04,2.273e+01,1.076e+04
38.8,3.791e+02,1.156e+04,2.846e+01,1.197e+04
40.4,4.224e+02,1.200e+04,2.722e+01,1.245e+04
42.0,5.559e+02,1.232e+04,2.644e+01,1.290e+04
43.6,6.297e+02,1.254e+04,2.917e+01,1.320e+04
45.2,6.871e+02,1.371e+04,3.256e+01,1.443e+04
46.9,7.301e+02,1.528e+04,3.606e+01,1.605e+04
48.5,6.778e+02,1.657e+04,3.604e+01,1.728e+04
50.1,6.925e+02,1.677e+04,3.289e+01,1.750e+04
51.7,8.816e+02,1.513e+04,5.509e+01,1.607e+04
53.3,1.008e+03,1.347e+04,9.424e+01,1.457e+04
54.9,9.392e+02,1.239e+04,8.108e+01,1.341e+04
56.5,9.231e+02,1.092e+04,7.665e+01,1.192e+04
58.2,1.070e+03,8.784e+03,8.308e+01,9.937e+03
59.8,1.763e+03,6.556e+03,9.946e+01,8.418e+03
61.4,3.249e+03,5.849e+03,1.485e+02,9.246e+03
63.0,4.382e+03,5.240e+03,2.459e+02,9.869e+03
64.6,6.277e+03,4.668e+03,4.518e+02,1.140e+04
66.2,3.493e+03,4.944e+03,9.217e+02,9.358e+03
67.9,2.041e+03,4.924e+03,1.478e+03,8.444e+03
69.5,2.500e+03,4.596e+03,1.828e+03,8.924e+03
71.1,2.981e+03,4.420e+03,1.741e+03,9.142e+03
72.7,2.921e+03,4.692e+03,1.461e+03,9.074e+03
74.3,2.065e+03,5.223e+03,1.234e+03,8.522e+03
75.9,1.489e+03,5.867e+03,1.241e+03,8.597e+03
77.5,1.125e+03,6.210e+03,1.148e+03,8.484e+03
79.2,7.323e+02,6.511e+03,1.109e+03,8.353e+03
80.8,6.398e+02,6.977e+03,1.658e+03,9.275e+03
82.4,2.153e+03,7.060e+03,2.689e+03,1.190e+04
84.0,3.559e+03,7.946e+03,4.444e+03,1.595e+04
85.6,1.580e+03,1.044e+04,7.317e+03,1.934e+04
87.2,1.055e+03,1.354e+04,1.155e+04,2.615e+04
88.9,1.191e+03,1.786e+04,1.351e+04,3.256e+04
90.5,1.060e+03,1.768e+04,1.184e+04,3.058e+04
92.1,6.270e+02,1.571e+04,1.079e+04,2.712e+04
93.7,6.845e+02,1.643e+04,1.146e+04,2.857e+04
95.3,7.229e+02,1.431e+04,1.171e+04,2.675e+04
96.9,6.000e+02,1.063e+04,1.110e+04,2.233e+04
98.5,5.004e+02,7.583e+03,8.902e+03,1.699e+04
100.2,3.826e+02,5.686e+03,6.008e+03,1.208e+04
101.8,5.138e+02,4.356e+03,4.010e+03,8.880e+03
103.4,8.174e+02,3.436e+03,2.964e+03,7.218e+03
105.0,6.865e+02,2.581e+03,2.230e+03,5.497e+03
106.6,6.166e+02,2.257e+03,1.633e+03,4.507e+03
108.2,6.575e+02,2.530e+03,1.310e+03,4.498e+03
109.9,1.010e+03,3.155e+03,1.016e+03,5.180e+03
111.5,1.748e+03,3.893e+03,7.714e+02,6.413e+03
113.1,1.978e+03,4.367e+03,7.959e+02,7.141e+03
114.7,1.994e+03,4.525e+03,1.162e+03,7.681e+03
116.3,1.870e+03,5.419e+03,2.173e+03,9.461e+03
117.9,2.032e+03,8.832e+03,3.733e+03,1.460e+04
119.6,2.465e+03,1.592e+04,5.079e+03,2.346e+04
121.2,2.482e+03,2.183e+04,5.455e+03,2.976e+04
122.8,2.704e+03,2.479e+04,5.693e+03,3.319e+04
124.4,3.266e+03,2.620e+04,5.866e+03,3.534e+04
126.0,1.874e+03,2.816e+04,4.869e+03,3.491e+04
127.6,1.497e+03,2.911e+04,3.343e+03,3.395e+04
129.2,1.413e+03,2.973e+04,2.483e+03,3.363e+04
130.9,1.096e+03,3.033e+04,1.941e+03,3.337e+04
132.5,6.100e+02,2.445e+04,1.189e+03,2.625e+04
134.1,1.546e+02,1.483e+04,4.343e+02,1.542e+04
135.7,8.175e+01,1.349e+04,2.982e+02,1.387e+04
137.3,6.742e+01,1.352e+04,2.633e+02,1.385e+04
138.9,7.130e+01,1.237e+04,2.252e+02,1.267e+04
140.6,8.484e+01,1.161e+04,2.047e+02,1.190e+04
142.2,1.136e+02,1.142e+04,1.887e+02,1.172e+04
143.8,1.262e+02,1.082e+04,1.596e+02,1.111e+04
145.4,1.263e+02,1.021e+04,1.408e+02,1.048e+04
147.0,1.139e+02,9.443e+03,1.187e+02,9.675e+03
148.6,1.013e+02,8.823e+03,9.975e+01,9.024e+03
150.2,1.184e+02,8.237e+03,8.875e+01,8.444e+03
151.9,1.143e+02,7.512e+03,7.588e+01,7.702e+03
153.5,8.791e+01,7.146e+03,6.760e+01,7.302e+03
155.1,7.689e+01,6.552e+03,5.913e+01,6.688e+03
156.7,9.494e+01,6.460e+03,5.605e+01,6.611e+03
158.3,1.012e+02,6.459e+03,5.194e+01,6.612e+03
159.9,9.597e+01,6.370e+03,4.569e+01,6.512e+03
161.6,7.759e+01,5.720e+03,4.044e+01,5.838e+03
163.2,6.809e+01,4.999e+03,4.113e+01,5.108e+03
164.8,7.309e+01,4.663e+03,4.236e+01,4.779e+03
166.4,9.163e+01,4.684e+03,3.981e+01,4.815e+03
168.0,1.458e+02,4.862e+03,4.107e+01,5.049e+03
169.6,1.791e+02,5.073e+03,4.324e+01,5.296e+03
171.3,2.025e+02,5.292e+03,4.659e+01,5.541e+03
172.9,2.804e+02,6.017e+03,5.616e+01,6.353e+03
174.5,3.798e+02,6.018e+03,6.371e+01,6.461e+03
176.1,4.968e+02,5.835e+03,6.695e+01,6.399e+03
177.7,6.423e+02,5.185e+03,7.446e+01,5.902e+03
179.3,9.015e+02,4.740e+03,7.994e+01,5.721e+03
180.9,8.804e+02,5.323e+03,7.411e+01,6.277e+03
182.6,9.501e+02,5.131e+03,7.820e+01,6.160e+03
184.2,1.511e+03,5.008e+03,1.006e+02,6.619e+03
185.8,2.156e+03,4.739e+03,1.199e+02,7.015e+03
187.4,2.497e+03,4.951e+03,1.225e+02,7.570e+03
189.0,2.525e+03,4.809e+03,1.216e+02,7.455e+03
190.6,2.687e+03,4.592e+03,1.170e+02,7.396e+03
192.3,2.823e+03,4.549e+03,1.075e+02,7.479e+03
193.9,2.947e+03,4.616e+03,1.014e+02,7.664e+03
195.5,2.788e+03,4.178e+03,9.868e+01,7.064e+03
197.1,2.494e+03,3.767e+03,9.748e+01,6.359e+03
198.7,2.307e+03,4.430e+03,9.958e+01,6.837e+03
