freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.004e+01,4.852e+02,1.503e+01,5.102e+02
1.5,2.976e+01,2.783e+02,2.502e+01,3.331e+02
2.9,3.112e+01,6.367e+01,2.182e+01,1.166e+02
4.4,2.821e+01,2.848e+02,2.440e+01,3.374e+02
5.9,2.667e+01,1.176e+03,2.651e+01,1.229e+03
7.3,3.852e+01,1.833e+03,2.772e+01,1.899e+03
8.8,3.673e+01,2.515e+03,2.633e+01,2.579e+03
10.3,3.313e+01,3.513e+03,2.629e+01,3.572e+03
11.7,3.523e+01,4.808e+03,2.726e+01,4.871e+03
13.2,3.756e+01,5.598e+03,2.595e+01,5.662e+03
14.7,3.795e+01,7.095e+03,2.479e+01,7.158e+03
16.1,3.344e+01,9.309e+03,2.910e+01,9.371e+03
17.6,3.173e+01,1.169e+04,3.348e+01,1.176e+04
19.1,3.141e+01,1.436e+04,4.499e+01,1.443e+04
20.5,2.946e+01,1.752e+04,6.309e+01,1.761e+04
22.0,4.175e+01,2.140e+04,8.107e+01,2.153e+04
23.5,6.255e+01,2.580e+04,9.003e+01,2.595e+04
24.9,6.379e+01,3.107e+04,1.081e+02,3.124e+04
26.4,5.589e+01,3.782e+04,1.586e+02,3.804e+04
27.9,5.922e+01,4.776e+04,2.327e+02,4.805e+04
29.4,6.568e+01,5.845e+04,2.850e+02,5.880e+04
30.8,7.558e+01,7.219e+04,1.855e+02,7.246e+04
32.3,1.182e+02,9.274e+04,7.601e+01,9.293e+04
33.8,1.849e+02,1.204e+05,4.139e+01,1.206e+05
35.2,2.121e+02,1.536e+05,8.213e+01,1.539e+05
36.7,2.449e+02,2.006e+05,2.010e+02,2.010e+05
38.2,4.451e+02,2.829e+05,5.572e+02,2.839e+05
39.6,9.191e+02,4.321e+05,1.645e+03,4.347e+05
41.1,1.956e+03,7.745e+05,4.552e+03,7.810e+05
42.6,4.773e+03,1.369e+06,1.079e+04,1.385e+06
44.0,7.785e+03,1.701e+06,1.750e+04,1.727e+06
45.5,5.290e+03,1.541e+06,1.913e+04,1.566e+06
47.0,2.198e+03,1.216e+06,1.681e+04,1.235e+06
48.4,1.400e+03,8.945e+05,1.200e+04,9.079e+05
49.9,1.128e+03,6.463e+05,6.436e+03,6.538e+05
51.4,1.108e+03,5.197e+05,3.933e+03,5.247e+05
52.8,1.610e+03,4.294e+05,6.647e+03,4.376e+05
54.3,1.433e+03,3.439e+05,8.414e+03,3.537e+05
55.8,8.618e+02,2.688e+05,8.238e+03,2.779e+05
57.2,4.259e+02,2.109e+05,8.162e+03,2.195e+05
58.7,3.548e+02,1.720e+05,8.581e+03,1.809e+05
60.2,4.688e+02,1.464e+05,8.768e+03,1.557e+05
61.6,6.176e+02,1.235e+05,9.035e+03,1.331e+05
63.1,7.984e+02,1.013e+05,1.030e+04,1.124e+05
64.6,1.199e+03,8.039e+04,1.365e+04,9.524e+04
66.0,1.769e+03,6.053e+04,1.945e+04,8.175e+04
67.5,2.324e+03,4.720e+04,3.007e+04,7.959e+04
69.0,2.906e+03,4.907e+04,4.179e+04,9.377e+04
70.4,3.755e+03,6.296e+04,4.557e+04,1.123e+05
71.9,4.675e+03,9.264e+04,4.921e+04,1.465e+05
73.4,4.397e+03,1.387e+05,5.165e+04,1.948e+05
74.8,3.297e+03,1.869e+05,5.086e+04,2.411e+05
76.3,2.677e+03,2.397e+05,5.222e+04,2.946e+05
77.8,3.169e+03,2.832e+05,5.244e+04,3.388e+05
79.2,3.024e+03,2.913e+05,4.827e+04,3.426e+05
80.7,2.411e+03,2.688e+05,3.973e+04,3.110e+05
82.2,2.672e+03,2.292e+05,2.833e+04,2.603e+05
83.7,4.967e+03,2.056e+05,2.026e+04,2.308e+05
85.1,8.454e+03,1.962e+05,1.598e+04,2.206e+05
86.6,1.132e+04,1.856e+05,1.632e+04,2.132e+05
88.1,1.109e+04,1.659e+05,2.001e+04,1.970e+05
89.5,9.389e+03,1.310e+05,2.018e+04,1.606e+05
91.0,8.752e+03,9.268e+04,1.432e+04,1.158e+05
92.5,8.829e+03,7.498e+04,1.016e+04,9.396e+04
93.9,1.288e+04,7.927e+04,9.004e+03,1.011e+05
95.4,1.462e+04,7.894e+04,7.553e+03,1.011e+05
96.9,1.208e+04,7.308e+04,3.897e+03,8.906e+04
98.3,9.010e+03,7.576e+04,1.676e+03,8.645e+04
99.8,5.907e+03,7.868e+04,1.026e+03,8.561e+04
101.3,3.512e+03,9.221e+04,6.565e+02,9.638e+04
102.7,2.108e+03,1.119e+05,4.230e+02,1.144e+05
104.2,1.359e+03,1.152e+05,4.037e+02,1.169e+05
105.7,9.771e+02,1.058e+05,4.330e+02,1.072e+05
107.1,1.095e+03,1.057e+05,6.228e+02,1.075e+05
108.6,1.644e+03,1.244e+05,9.818e+02,1.270e+05
110.1,2.700e+03,1.351e+05,1.261e+03,1.391e+05
111.5,3.580e+03,1.252e+05,1.775e+03,1.306e+05
113.0,4.813e+03,1.175e+05,2.411e+03,1.247e+05
114.5,6.133e+03,1.181e+05,3.223e+03,1.274e+05
115.9,6.896e+03,1.218e+05,3.768e+03,1.325e+05
117.4,7.595e+03,1.222e+05,3.690e+03,1.335e+05
118.9,8.678e+03,1.184e+05,3.175e+03,1.303e+05
120.3,9.655e+03,1.160e+05,3.032e+03,1.287e+05
121.8,1.112e+04,1.146e+05,3.570e+03,1.293e+05
123.3,1.379e+04,1.136e+05,4.166e+03,1.315e+05
124.7,1.950e+04,1.147e+05,3.868e+03,1.380e+05
