freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.571e+02,1.915e+01,3.025e+01,7.065e+02
1.5,3.894e+02,2.898e+01,2.618e+01,4.445e+02
3.0,3.948e+01,2.138e+01,1.251e+01,7.337e+01
4.5,2.903e+02,2.258e+01,1.148e+01,3.243e+02
6.0,1.108e+03,2.088e+01,1.262e+01,1.141e+03
7.5,1.771e+03,2.065e+01,1.353e+01,1.805e+03
9.0,2.353e+03,2.305e+01,1.279e+01,2.388e+03
10.5,3.224e+03,2.221e+01,1.317e+01,3.260e+03
12.0,4.196e+03,2.240e+01,1.463e+01,4.233e+03
13.5,5.291e+03,2.183e+01,1.452e+01,5.328e+03
15.0,6.635e+03,2.169e+01,1.385e+01,6.671e+03
16.5,8.059e+03,2.379e+01,1.578e+01,8.099e+03
18.0,9.606e+03,2.273e+01,1.321e+01,9.642e+03
19.5,1.153e+04,2.239e+01,1.293e+01,1.157e+04
21.0,1.378e+04,2.263e+01,1.288e+01,1.381e+04
22.5,1.604e+04,2.379e+01,1.728e+01,1.608e+04
24.0,1.805e+04,2.468e+01,2.385e+01,1.810e+04
25.5,2.082e+04,2.360e+01,3.675e+01,2.088e+04
27.0,2.389e+04,2.330e+01,4.515e+01,2.395e+04
28.5,2.719e+04,2.278e+01,4.611e+01,2.726e+04
30.0,3.087e+04,2.125e+01,4.064e+01,3.093e+04
31.5,3.502e+04,2.143e+01,3.440e+01,3.508e+04
33.0,3.987e+04,2.149e+01,3.497e+01,3.993e+04
34.5,4.565e+04,2.093e+01,3.495e+01,4.571e+04
36.0,5.169e+04,2.530e+01,3.613e+01,5.175e+04
37.5,6.006e+04,2.582e+01,3.746e+01,6.012e+04
39.0,6.885e+04,2.175e+01,4.228e+01,6.891e+04
40.5,7.998e+04,2.516e+01,6.381e+01,8.007e+04
42.0,9.416e+04,2.647e+01,7.140e+01,9.426e+04
43.5,1.062e+05,2.803e+01,4.807e+01,1.063e+05
45.0,1.190e+05,3.185e+01,4.584e+01,1.191e+05
46.5,1.402e+05,3.731e+01,5.176e+01,1.403e+05
48.0,1.668e+05,3.734e+01,6.818e+01,1.669e+05
49.5,1.915e+05,3.934e+01,8.791e+01,1.916e+05
51.0,2.245e+05,4.022e+01,1.043e+02,2.246e+05
52.5,2.781e+05,5.573e+01,2.057e+02,2.784e+05
54.0,3.482e+05,7.539e+01,3.775e+02,3.487e+05
55.5,4.398e+05,1.001e+02,7.358e+02,4.406e+05
57.0,5.544e+05,1.394e+02,2.659e+03,5.572e+05
58.5,7.436e+05,4.058e+02,9.670e+03,7.537e+05
60.0,1.068e+06,7.571e+02,1.789e+04,1.086e+06
61.5,1.394e+06,1.023e+03,2.031e+04,1.415e+06
63.0,1.724e+06,1.847e+03,2.277e+04,1.748e+06
64.5,2.240e+06,3.237e+03,3.228e+04,2.276e+06
66.0,2.849e+06,6.452e+03,5.424e+04,2.910e+06
67.5,3.061e+06,1.420e+04,9.285e+04,3.168e+06
69.0,2.910e+06,2.815e+04,1.474e+05,3.086e+06
70.5,2.741e+06,4.135e+04,1.871e+05,2.970e+06
72.0,2.512e+06,4.663e+04,1.865e+05,2.745e+06
73.5,2.242e+06,4.899e+04,1.703e+05,2.461e+06
75.0,1.960e+06,4.788e+04,1.412e+05,2.149e+06
76.5,1.660e+06,4.314e+04,1.086e+05,1.812e+06
78.0,1.372e+06,3.643e+04,7.889e+04,1.487e+06
79.5,1.137e+06,3.139e+04,5.815e+04,1.226e+06
81.0,9.282e+05,3.189e+04,5.308e+04,1.013e+06
82.5,7.286e+05,3.256e+04,5.019e+04,8.113e+05
84.0,5.888e+05,3.364e+04,4.807e+04,6.705e+05
85.5,4.929e+05,4.018e+04,5.868e+04,5.918e+05
