freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.635e+00,5.060e+02,1.871e+01,5.324e+02
1.5,1.586e+01,2.889e+02,2.975e+01,3.345e+02
2.9,1.699e+01,1.734e+01,2.317e+01,5.750e+01
4.4,1.877e+01,2.324e+02,2.318e+01,2.744e+02
5.9,2.113e+01,1.098e+03,2.648e+01,1.146e+03
7.3,3.422e+01,1.999e+03,2.896e+01,2.062e+03
8.8,4.875e+01,2.535e+03,3.106e+01,2.614e+03
10.3,4.612e+01,2.968e+03,3.573e+01,3.050e+03
11.7,3.170e+01,3.803e+03,3.718e+01,3.872e+03
13.2,2.109e+01,5.146e+03,4.343e+01,5.210e+03
14.6,2.638e+01,6.967e+03,5.202e+01,7.045e+03
16.1,2.969e+01,9.145e+03,5.265e+01,9.227e+03
17.6,2.209e+01,1.128e+04,5.718e+01,1.136e+04
19.0,1.999e+01,1.352e+04,5.709e+01,1.360e+04
20.5,2.152e+01,1.621e+04,6.605e+01,1.630e+04
22.0,2.710e+01,1.953e+04,8.410e+01,1.965e+04
23.4,2.424e+01,2.332e+04,1.056e+02,2.345e+04
24.9,1.815e+01,2.805e+04,1.183e+02,2.819e+04
26.4,1.813e+01,3.383e+04,1.381e+02,3.398e+04
27.8,2.183e+01,4.037e+04,1.951e+02,4.058e+04
29.3,2.337e+01,4.894e+04,2.307e+02,4.919e+04
30.8,2.572e+01,6.083e+04,2.882e+02,6.115e+04
32.2,2.802e+01,7.571e+04,4.695e+02,7.621e+04
33.7,3.045e+01,9.511e+04,8.627e+02,9.601e+04
35.1,3.402e+01,1.201e+05,1.489e+03,1.217e+05
36.6,6.497e+01,1.566e+05,1.720e+03,1.584e+05
38.1,1.191e+02,2.113e+05,1.654e+03,2.131e+05
39.5,2.091e+02,2.921e+05,2.030e+03,2.944e+05
41.0,4.664e+02,4.558e+05,3.739e+03,4.600e+05
42.5,1.308e+03,7.984e+05,1.017e+04,8.098e+05
43.9,2.892e+03,1.264e+06,2.364e+04,1.291e+06
45.4,4.394e+03,1.546e+06,3.537e+04,1.586e+06
46.9,4.971e+03,1.390e+06,3.540e+04,1.430e+06
48.3,4.950e+03,9.971e+05,2.827e+04,1.030e+06
49.8,3.930e+03,6.549e+05,2.027e+04,6.791e+05
51.3,3.063e+03,4.698e+05,1.599e+04,4.888e+05
52.7,3.086e+03,4.020e+05,1.738e+04,4.224e+05
54.2,3.042e+03,3.491e+05,1.801e+04,3.702e+05
55.7,2.758e+03,2.921e+05,1.684e+04,3.117e+05
57.1,2.697e+03,2.386e+05,1.557e+04,2.569e+05
58.6,2.983e+03,2.055e+05,1.463e+04,2.231e+05
60.0,2.944e+03,1.963e+05,1.450e+04,2.137e+05
61.5,2.290e+03,1.927e+05,1.416e+04,2.092e+05
63.0,2.041e+03,1.927e+05,1.365e+04,2.084e+05
64.4,2.081e+03,1.900e+05,1.363e+04,2.057e+05
65.9,2.094e+03,1.876e+05,1.334e+04,2.030e+05
67.4,2.005e+03,1.804e+05,1.219e+04,1.946e+05
68.8,2.265e+03,1.817e+05,1.004e+04,1.940e+05
70.3,2.690e+03,1.786e+05,7.627e+03,1.889e+05
71.8,2.746e+03,1.641e+05,4.405e+03,1.712e+05
73.2,1.617e+03,1.376e+05,2.291e+03,1.415e+05
74.7,4.891e+02,1.064e+05,2.451e+03,1.094e+05
76.2,2.785e+02,8.275e+04,5.700e+03,8.873e+04
77.6,4.833e+02,7.156e+04,9.509e+03,8.155e+04
79.1,8.455e+02,6.276e+04,1.181e+04,7.541e+04
80.6,1.468e+03,5.308e+04,1.662e+04,7.117e+04
82.0,1.951e+03,5.238e+04,2.311e+04,7.744e+04
83.5,2.148e+03,6.829e+04,2.919e+04,9.962e+04
84.9,2.685e+03,8.674e+04,2.998e+04,1.194e+05
86.4,2.967e+03,9.368e+04,2.728e+04,1.239e+05
87.9,3.176e+03,8.960e+04,2.353e+04,1.163e+05
89.3,3.783e+03,7.695e+04,1.935e+04,1.001e+05
