freq,psd_x,psd_y,psd_z,psd_xyz
146.1,9.796e+02,4.436e+02,1.481e+02,1.571e+03
147.6,1.107e+03,5.487e+02,1.510e+02,1.807e+03
149.0,1.229e+03,5.828e+02,1.153e+02,1.927e+03
150.5,1.360e+03,6.871e+02,9.385e+01,2.141e+03
152.0,1.432e+03,7.163e+02,8.661e+01,2.235e+03
153.5,1.468e+03,8.407e+02,1.045e+02,2.414e+03
154.9,1.366e+03,1.184e+03,1.382e+02,2.688e+03
156.4,1.201e+03,1.621e+03,1.590e+02,2.981e+03
157.9,1.134e+03,2.101e+03,1.731e+02,3.409e+03
159.4,1.103e+03,2.372e+03,1.781e+02,3.653e+03
160.9,1.125e+03,2.512e+03,1.849e+02,3.822e+03
162.3,1.204e+03,2.385e+03,1.769e+02,3.766e+03
163.8,1.270e+03,2.432e+03,1.796e+02,3.882e+03
165.3,1.416e+03,2.663e+03,1.847e+02,4.264e+03
166.8,1.686e+03,3.007e+03,1.915e+02,4.885e+03
168.2,2.028e+03,3.480e+03,1.942e+02,5.702e+03
169.7,2.570e+03,4.319e+03,2.272e+02,7.117e+03
171.2,2.947e+03,6.142e+03,3.069e+02,9.396e+03
172.7,2.514e+03,8.824e+03,4.368e+02,1.177e+04
174.1,1.815e+03,9.827e+03,5.102e+02,1.215e+04
175.6,1.476e+03,1.011e+04,5.171e+02,1.210e+04
177.1,1.687e+03,1.010e+04,5.193e+02,1.230e+04
178.6,2.258e+03,9.942e+03,5.303e+02,1.273e+04
180.0,2.522e+03,1.008e+04,5.524e+02,1.316e+04
181.5,2.157e+03,1.014e+04,5.517e+02,1.285e+04
183.0,1.971e+03,9.903e+03,5.369e+02,1.241e+04
184.5,1.957e+03,9.806e+03,5.130e+02,1.228e+04
185.9,1.924e+03,9.891e+03,5.051e+02,1.232e+04
187.4,2.143e+03,1.033e+04,5.198e+02,1.299e+04
188.9,2.454e+03,1.074e+04,5.478e+02,1.374e+04
190.4,2.751e+03,1.102e+04,5.975e+02,1.437e+04
191.8,3.571e+03,1.147e+04,6.556e+02,1.570e+04
193.3,5.079e+03,1.241e+04,7.187e+02,1.820e+04
194.8,7.014e+03,1.320e+04,7.720e+02,2.099e+04
196.3,8.936e+03,1.186e+04,6.946e+02,2.149e+04
197.7,1.094e+04,1.068e+04,6.055e+02,2.222e+04
199.2,1.234e+04,1.083e+04,5.184e+02,2.369e+04
