freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.670e+02,7.368e+00,2.836e+00,5.772e+02
1.6,3.258e+02,2.898e+01,9.712e+00,3.645e+02
3.2,3.838e+01,2.534e+01,1.035e+01,7.406e+01
4.8,4.711e+02,2.275e+01,1.123e+01,5.051e+02
6.5,1.426e+03,2.751e+01,1.026e+01,1.464e+03
8.1,2.263e+03,2.926e+01,1.053e+01,2.303e+03
9.7,3.241e+03,3.522e+01,1.110e+01,3.288e+03
11.3,4.436e+03,3.085e+01,1.296e+01,4.480e+03
12.9,5.645e+03,2.998e+01,1.318e+01,5.688e+03
14.5,7.302e+03,2.895e+01,1.068e+01,7.342e+03
16.2,9.292e+03,2.738e+01,1.059e+01,9.330e+03
17.8,1.145e+04,2.721e+01,1.196e+01,1.149e+04
19.4,1.393e+04,3.298e+01,1.286e+01,1.398e+04
21.0,1.694e+04,3.613e+01,1.210e+01,1.699e+04
22.6,1.988e+04,3.444e+01,1.170e+01,1.993e+04
24.2,2.279e+04,3.316e+01,1.200e+01,2.284e+04
25.8,2.676e+04,3.700e+01,1.304e+01,2.681e+04
27.5,3.148e+04,4.673e+01,1.258e+01,3.154e+04
29.1,3.669e+04,5.902e+01,1.330e+01,3.676e+04
30.7,4.311e+04,6.722e+01,1.562e+01,4.319e+04
32.3,5.034e+04,7.226e+01,2.130e+01,5.043e+04
33.9,5.861e+04,7.608e+01,2.270e+01,5.871e+04
35.5,6.752e+04,8.293e+01,2.202e+01,6.762e+04
37.2,7.809e+04,1.290e+02,2.115e+01,7.824e+04
38.8,9.182e+04,1.758e+02,3.053e+01,9.203e+04
40.4,1.081e+05,2.247e+02,4.196e+01,1.083e+05
42.0,1.276e+05,2.646e+02,3.482e+01,1.279e+05
43.6,1.483e+05,2.555e+02,2.429e+01,1.486e+05
45.2,1.707e+05,2.339e+02,1.681e+01,1.709e+05
46.9,2.023e+05,2.443e+02,2.125e+01,2.026e+05
48.5,2.481e+05,2.896e+02,3.485e+01,2.484e+05
50.1,3.011e+05,3.560e+02,3.783e+01,3.015e+05
51.7,4.039e+05,5.016e+02,5.261e+01,4.044e+05
53.3,5.637e+05,8.639e+02,2.808e+02,5.648e+05
54.9,7.796e+05,1.597e+03,7.808e+02,7.819e+05
56.5,1.046e+06,2.569e+03,1.262e+03,1.050e+06
58.2,1.497e+06,3.648e+03,1.509e+03,1.502e+06
59.8,2.112e+06,4.683e+03,1.774e+03,2.119e+06
61.4,2.343e+06,5.022e+03,2.049e+03,2.350e+06
63.0,2.395e+06,4.633e+03,1.648e+03,2.401e+06
64.6,2.277e+06,4.126e+03,1.588e+03,2.282e+06
66.2,1.745e+06,3.436e+03,1.844e+03,1.750e+06
67.9,1.299e+06,3.072e+03,2.369e+03,1.304e+06
69.5,1.064e+06,2.876e+03,3.584e+03,1.071e+06
71.1,9.463e+05,2.696e+03,4.337e+03,9.533e+05
72.7,8.313e+05,2.548e+03,3.120e+03,8.370e+05
74.3,6.859e+05,2.303e+03,1.613e+03,6.898e+05
75.9,5.577e+05,1.876e+03,5.845e+02,5.601e+05
77.5,4.601e+05,1.812e+03,2.317e+02,4.621e+05
79.2,3.803e+05,2.049e+03,6.641e+02,3.830e+05
80.8,3.027e+05,1.918e+03,1.610e+03,3.063e+05
82.4,2.304e+05,1.652e+03,2.505e+03,2.346e+05
84.0,1.917e+05,1.353e+03,2.967e+03,1.960e+05
85.6,1.818e+05,9.190e+02,3.162e+03,1.859e+05
87.2,1.682e+05,7.587e+02,2.675e+03,1.716e+05
88.9,1.386e+05,1.232e+03,2.549e+03,1.424e+05
90.5,1.223e+05,1.660e+03,2.516e+03,1.264e+05
92.1,1.144e+05,1.615e+03,2.418e+03,1.185e+05
93.7,9.935e+04,1.641e+03,2.154e+03,1.031e+05
95.3,8.656e+04,1.582e+03,1.824e+03,8.997e+04
96.9,7.765e+04,1.517e+03,1.427e+03,8.059e+04
98.6,7.425e+04,1.525e+03,1.017e+03,7.680e+04
100.2,6.997e+04,1.393e+03,1.129e+03,7.249e+04
101.8,6.591e+04,1.202e+03,1.810e+03,6.892e+04
103.4,5.758e+04,1.020e+03,2.318e+03,6.092e+04
105.0,4.364e+04,7.717e+02,2.271e+03,4.668e+04
106.6,3.547e+04,6.429e+02,2.075e+03,3.819e+04
108.2,3.259e+04,6.521e+02,1.664e+03,3.490e+04
109.9,2.970e+04,7.228e+02,1.302e+03,3.172e+04
111.5,2.447e+04,9.582e+02,1.237e+03,2.667e+04
113.1,1.810e+04,1.339e+03,1.338e+03,2.078e+04
114.7,1.700e+04,1.725e+03,1.228e+03,1.995e+04
116.3,1.928e+04,2.948e+03,7.088e+02,2.294e+04
117.9,2.219e+04,4.659e+03,3.747e+02,2.722e+04
119.6,2.537e+04,4.885e+03,1.006e+03,3.126e+04
121.2,2.690e+04,3.433e+03,1.849e+03,3.218e+04
122.8,2.865e+04,2.907e+03,2.118e+03,3.367e+04
124.4,3.174e+04,3.762e+03,2.062e+03,3.756e+04
126.0,3.804e+04,5.863e+03,1.704e+03,4.560e+04
127.6,3.937e+04,6.559e+03,1.144e+03,4.707e+04
129.2,3.325e+04,7.768e+03,5.864e+02,4.160e+04
130.9,2.734e+04,9.093e+03,4.224e+02,3.685e+04
132.5,1.690e+04,7.811e+03,3.523e+02,2.506e+04
134.1,3.764e+03,5.749e+03,3.583e+02,9.872e+03
135.7,2.125e+03,3.746e+03,2.571e+02,6.128e+03
137.3,2.343e+03,2.864e+03,2.076e+02,5.414e+03
138.9,2.604e+03,3.293e+03,2.219e+02,6.118e+03
140.6,3.229e+03,4.071e+03,2.549e+02,7.555e+03
142.2,3.513e+03,3.752e+03,2.701e+02,7.535e+03
143.8,3.736e+03,3.483e+03,2.985e+02,7.518e+03
145.4,4.042e+03,4.273e+03,3.369e+02,8.652e+03
147.0,4.153e+03,5.138e+03,3.432e+02,9.634e+03
148.6,4.867e+03,6.291e+03,3.483e+02,1.151e+04
150.2,5.707e+03,7.050e+03,3.685e+02,1.313e+04
151.9,5.821e+03,5.455e+03,3.096e+02,1.158e+04
153.5,5.641e+03,3.646e+03,2.674e+02,9.555e+03
155.1,5.432e+03,2.920e+03,2.555e+02,8.608e+03
156.7,4.816e+03,4.137e+03,2.818e+02,9.235e+03
158.3,4.402e+03,4.611e+03,2.635e+02,9.276e+03
159.9,5.178e+03,4.430e+03,2.727e+02,9.881e+03
161.6,6.123e+03,5.165e+03,3.114e+02,1.160e+04
163.2,6.654e+03,5.947e+03,3.308e+02,1.293e+04
164.8,6.841e+03,5.018e+03,3.299e+02,1.219e+04
166.4,7.628e+03,4.774e+03,3.550e+02,1.276e+04
168.0,7.682e+03,4.306e+03,3.485e+02,1.234e+04
169.6,7.850e+03,3.926e+03,3.527e+02,1.213e+04
171.3,8.390e+03,3.115e+03,4.143e+02,1.192e+04
172.9,8.902e+03,2.646e+03,5.113e+02,1.206e+04
174.5,1.164e+04,2.709e+03,6.281e+02,1.498e+04
176.1,1.269e+04,2.232e+03,6.400e+02,1.556e+04
177.7,1.403e+04,2.264e+03,6.676e+02,1.697e+04
179.3,1.560e+04,2.415e+03,7.011e+02,1.872e+04
180.9,1.728e+04,2.362e+03,7.444e+02,2.039e+04
182.6,1.665e+04,1.865e+03,7.168e+02,1.923e+04
184.2,1.819e+04,1.971e+03,7.401e+02,2.090e+04
185.8,1.791e+04,1.769e+03,6.853e+02,2.036e+04
187.4,1.595e+04,1.302e+03,5.961e+02,1.785e+04
189.0,1.542e+04,9.308e+02,5.575e+02,1.691e+04
190.6,1.397e+04,8.779e+02,5.224e+02,1.537e+04
192.3,1.356e+04,7.976e+02,4.987e+02,1.485e+04
193.9,1.249e+04,7.775e+02,4.503e+02,1.371e+04
195.5,1.162e+04,9.246e+02,4.087e+02,1.296e+04
197.1,1.081e+04,1.081e+03,3.773e+02,1.227e+04
198.7,9.653e+03,1.247e+03,3.450e+02,1.124e+04
