freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.416e+02,5.646e+01,1.767e+01,1.016e+03
1.5,5.456e+02,4.583e+01,3.033e+01,6.218e+02
3.0,1.788e+01,1.719e+01,2.708e+01,6.216e+01
4.4,2.423e+02,1.997e+01,2.729e+01,2.895e+02
5.9,1.081e+03,2.065e+01,2.908e+01,1.131e+03
7.4,1.803e+03,2.115e+01,2.905e+01,1.853e+03
8.9,2.428e+03,2.302e+01,2.842e+01,2.480e+03
10.3,3.237e+03,2.496e+01,2.851e+01,3.290e+03
11.8,4.228e+03,2.700e+01,2.652e+01,4.282e+03
13.3,5.422e+03,3.476e+01,2.831e+01,5.485e+03
14.8,6.761e+03,3.983e+01,3.091e+01,6.832e+03
16.2,8.218e+03,4.423e+01,3.469e+01,8.297e+03
17.7,9.955e+03,4.879e+01,3.141e+01,1.004e+04
19.2,1.202e+04,5.677e+01,2.854e+01,1.211e+04
20.7,1.454e+04,5.981e+01,3.147e+01,1.463e+04
22.2,1.690e+04,6.057e+01,3.333e+01,1.699e+04
23.6,1.911e+04,6.469e+01,3.405e+01,1.920e+04
25.1,2.206e+04,7.874e+01,3.083e+01,2.217e+04
26.6,2.538e+04,8.629e+01,2.950e+01,2.549e+04
28.1,2.916e+04,9.522e+01,2.883e+01,2.928e+04
29.5,3.369e+04,9.869e+01,2.814e+01,3.381e+04
31.0,3.874e+04,1.040e+02,3.366e+01,3.887e+04
32.5,4.411e+04,1.964e+02,6.520e+01,4.437e+04
34.0,5.029e+04,3.606e+02,9.678e+01,5.074e+04
35.5,5.693e+04,5.145e+02,1.202e+02,5.756e+04
36.9,6.536e+04,6.597e+02,1.401e+02,6.616e+04
38.4,7.564e+04,8.172e+02,1.635e+02,7.662e+04
39.9,8.632e+04,9.537e+02,1.788e+02,8.745e+04
41.4,1.015e+05,1.065e+03,1.652e+02,1.028e+05
42.8,1.175e+05,1.104e+03,1.303e+02,1.188e+05
44.3,1.323e+05,1.160e+03,1.037e+02,1.336e+05
45.8,1.554e+05,1.387e+03,9.896e+01,1.569e+05
47.3,1.871e+05,1.669e+03,1.028e+02,1.889e+05
48.7,2.193e+05,1.985e+03,1.141e+02,2.214e+05
50.2,2.535e+05,2.330e+03,1.215e+02,2.560e+05
51.7,3.133e+05,2.868e+03,1.977e+02,3.164e+05
53.2,4.005e+05,3.821e+03,6.318e+02,4.049e+05
54.7,5.179e+05,6.924e+03,1.850e+03,5.266e+05
56.1,6.580e+05,1.190e+04,2.939e+03,6.729e+05
57.6,8.085e+05,1.591e+04,3.608e+03,8.280e+05
59.1,1.075e+06,2.097e+04,4.991e+03,1.101e+06
60.6,1.548e+06,3.300e+04,9.103e+03,1.590e+06
62.0,2.283e+06,5.481e+04,1.658e+04,2.354e+06
63.5,3.514e+06,9.110e+04,2.516e+04,3.631e+06
65.0,5.118e+06,1.390e+05,3.919e+04,5.297e+06
66.5,5.827e+06,1.867e+05,5.687e+04,6.071e+06
67.9,5.037e+06,2.085e+05,6.862e+04,5.314e+06
69.4,3.923e+06,2.101e+05,7.619e+04,4.209e+06
70.9,3.010e+06,1.939e+05,7.761e+04,3.282e+06
72.4,2.306e+06,1.730e+05,6.975e+04,2.549e+06
73.9,1.793e+06,1.624e+05,6.189e+04,2.018e+06
75.3,1.422e+06,1.689e+05,6.177e+04,1.653e+06
76.8,1.111e+06,1.675e+05,6.197e+04,1.340e+06
78.3,8.725e+05,1.452e+05,5.526e+04,1.073e+06
79.8,6.994e+05,1.117e+05,4.384e+04,8.549e+05
81.2,5.590e+05,8.050e+04,3.152e+04,6.711e+05
82.7,4.301e+05,5.742e+04,2.299e+04,5.105e+05
84.2,3.452e+05,3.928e+04,1.588e+04,4.003e+05
85.7,2.792e+05,2.811e+04,8.459e+03,3.158e+05
87.1,2.343e+05,2.793e+04,3.739e+03,2.660e+05
88.6,2.207e+05,4.924e+04,3.976e+03,2.739e+05
90.1,2.097e+05,6.689e+04,8.797e+03,2.854e+05
91.6,2.039e+05,6.192e+04,1.087e+04,2.767e+05
93.1,2.017e+05,5.159e+04,8.539e+03,2.618e+05
94.5,1.996e+05,5.307e+04,5.573e+03,2.582e+05
96.0,1.843e+05,8.106e+04,2.330e+03,2.677e+05
97.5,1.739e+05,1.328e+05,1.013e+03,3.077e+05
99.0,1.741e+05,1.796e+05,1.192e+03,3.549e+05
100.4,1.872e+05,2.006e+05,2.201e+03,3.900e+05
101.9,1.997e+05,1.906e+05,3.097e+03,3.933e+05
103.4,1.882e+05,1.580e+05,3.776e+03,3.500e+05
104.9,1.514e+05,1.181e+05,3.368e+03,2.729e+05
106.4,1.230e+05,9.287e+04,2.780e+03,2.187e+05
107.8,1.066e+05,8.301e+04,2.197e+03,1.918e+05
109.3,9.441e+04,7.821e+04,1.521e+03,1.741e+05
110.8,8.396e+04,6.944e+04,1.044e+03,1.544e+05
112.3,7.205e+04,5.313e+04,8.864e+02,1.261e+05
113.7,6.306e+04,3.862e+04,8.680e+02,1.025e+05
115.2,6.738e+04,3.056e+04,8.710e+02,9.881e+04
116.7,8.731e+04,2.366e+04,9.984e+02,1.120e+05
118.2,1.117e+05,1.533e+04,1.295e+03,1.284e+05
119.6,1.230e+05,1.504e+04,1.501e+03,1.396e+05
121.1,1.235e+05,2.334e+04,2.199e+03,1.490e+05
122.6,1.156e+05,3.900e+04,2.941e+03,1.576e+05
124.1,1.023e+05,3.093e+04,3.898e+03,1.372e+05
125.6,9.771e+04,2.404e+04,7.202e+03,1.289e+05
127.0,1.035e+05,3.437e+04,1.182e+04,1.497e+05
128.5,1.323e+05,5.160e+04,1.780e+04,2.017e+05
130.0,1.730e+05,5.526e+04,1.625e+04,2.445e+05
131.5,1.793e+05,6.528e+04,1.117e+04,2.558e+05
132.9,1.128e+05,5.089e+04,6.423e+03,1.702e+05
134.4,1.674e+04,8.850e+03,1.016e+03,2.660e+04
135.9,4.072e+03,2.854e+03,3.766e+02,7.303e+03
137.4,4.237e+03,2.362e+03,3.727e+02,6.972e+03
138.8,4.534e+03,1.872e+03,3.369e+02,6.743e+03
140.3,4.999e+03,1.450e+03,2.761e+02,6.725e+03
141.8,5.435e+03,1.089e+03,2.109e+02,6.735e+03
143.3,5.686e+03,8.505e+02,1.694e+02,6.706e+03
144.8,5.814e+03,7.125e+02,1.351e+02,6.662e+03
146.2,5.900e+03,7.035e+02,1.139e+02,6.718e+03
147.7,6.116e+03,6.487e+02,1.013e+02,6.866e+03
149.2,7.658e+03,6.227e+02,8.045e+01,8.361e+03
150.7,8.208e+03,5.816e+02,6.063e+01,8.850e+03
152.1,7.210e+03,4.752e+02,4.557e+01,7.731e+03
153.6,6.643e+03,3.870e+02,4.117e+01,7.071e+03
155.1,6.369e+03,3.517e+02,4.204e+01,6.762e+03
156.6,6.076e+03,3.301e+02,4.852e+01,6.454e+03
158.0,6.074e+03,3.161e+02,5.134e+01,6.441e+03
159.5,6.865e+03,3.091e+02,5.804e+01,7.232e+03
161.0,7.987e+03,2.640e+02,6.880e+01,8.320e+03
162.5,8.291e+03,1.960e+02,8.014e+01,8.567e+03
164.0,7.580e+03,1.708e+02,7.528e+01,7.826e+03
165.4,5.757e+03,2.867e+02,1.025e+02,6.147e+03
166.9,4.269e+03,5.021e+02,1.311e+02,4.902e+03
168.4,4.826e+03,7.385e+02,1.652e+02,5.730e+03
169.9,7.370e+03,8.087e+02,1.652e+02,8.344e+03
171.3,1.210e+04,9.025e+02,1.720e+02,1.317e+04
172.8,1.655e+04,1.215e+03,2.278e+02,1.799e+04
174.3,1.963e+04,1.110e+03,2.241e+02,2.097e+04
175.8,1.950e+04,9.543e+02,1.967e+02,2.065e+04
177.3,1.824e+04,1.064e+03,2.035e+02,1.950e+04
178.7,1.848e+04,1.085e+03,2.045e+02,1.977e+04
180.2,2.053e+04,9.847e+02,1.793e+02,2.169e+04
181.7,2.168e+04,6.091e+02,1.186e+02,2.240e+04
183.2,2.181e+04,3.437e+02,9.838e+01,2.225e+04
184.6,2.078e+04,4.090e+02,1.469e+02,2.134e+04
186.1,2.106e+04,5.168e+02,1.966e+02,2.177e+04
187.6,2.359e+04,5.721e+02,2.129e+02,2.437e+04
189.1,2.544e+04,7.048e+02,1.761e+02,2.632e+04
190.5,2.458e+04,7.466e+02,1.270e+02,2.546e+04
192.0,2.224e+04,6.463e+02,8.779e+01,2.298e+04
193.5,2.290e+04,9.312e+02,1.239e+02,2.395e+04
195.0,2.376e+04,1.587e+03,2.082e+02,2.555e+04
196.5,2.073e+04,1.332e+03,1.928e+02,2.225e+04
197.9,1.689e+04,9.516e+02,1.715e+02,1.801e+04
