freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.167e+01,5.483e+02,3.066e+01,5.906e+02
1.5,1.468e+01,3.171e+02,5.397e+01,3.858e+02
2.9,1.163e+01,1.687e+01,2.877e+01,5.727e+01
4.4,1.486e+01,2.368e+02,2.157e+01,2.732e+02
5.8,1.835e+01,1.139e+03,2.395e+01,1.181e+03
7.3,3.670e+01,2.082e+03,2.862e+01,2.148e+03
8.8,5.312e+01,2.509e+03,2.969e+01,2.591e+03
10.2,4.547e+01,2.986e+03,3.288e+01,3.065e+03
11.7,2.611e+01,3.851e+03,4.357e+01,3.921e+03
13.1,1.624e+01,5.118e+03,5.142e+01,5.186e+03
14.6,2.072e+01,7.074e+03,5.105e+01,7.146e+03
16.0,2.299e+01,9.356e+03,4.712e+01,9.427e+03
17.5,1.873e+01,1.152e+04,4.482e+01,1.158e+04
19.0,1.494e+01,1.393e+04,5.170e+01,1.399e+04
20.4,1.392e+01,1.675e+04,6.728e+01,1.683e+04
21.9,2.082e+01,2.007e+04,9.342e+01,2.018e+04
23.3,2.018e+01,2.402e+04,1.223e+02,2.416e+04
24.8,1.394e+01,2.873e+04,1.470e+02,2.889e+04
26.3,1.805e+01,3.477e+04,1.782e+02,3.496e+04
27.7,2.713e+01,4.185e+04,2.103e+02,4.208e+04
29.2,3.133e+01,5.139e+04,2.732e+02,5.169e+04
30.6,4.845e+01,6.415e+04,4.569e+02,6.465e+04
32.1,6.758e+01,7.952e+04,8.162e+02,8.040e+04
33.5,9.818e+01,9.848e+04,1.461e+03,1.000e+05
35.0,1.227e+02,1.261e+05,1.777e+03,1.280e+05
36.5,1.696e+02,1.640e+05,1.751e+03,1.659e+05
37.9,2.823e+02,2.217e+05,1.917e+03,2.239e+05
39.4,4.658e+02,3.059e+05,2.619e+03,3.089e+05
40.8,8.855e+02,4.731e+05,5.607e+03,4.796e+05
42.3,2.036e+03,8.537e+05,1.687e+04,8.726e+05
43.8,4.149e+03,1.479e+06,3.993e+04,1.524e+06
45.2,6.127e+03,1.977e+06,5.963e+04,2.042e+06
46.7,6.255e+03,1.809e+06,6.120e+04,1.877e+06
48.1,4.739e+03,1.254e+06,4.930e+04,1.308e+06
49.6,3.115e+03,7.908e+05,3.315e+04,8.270e+05
51.1,2.780e+03,5.682e+05,2.536e+04,5.964e+05
52.5,2.559e+03,4.806e+05,2.853e+04,5.117e+05
54.0,2.073e+03,3.942e+05,2.900e+04,4.253e+05
55.4,1.743e+03,3.185e+05,2.726e+04,3.475e+05
56.9,1.463e+03,2.593e+05,2.521e+04,2.860e+05
58.3,1.231e+03,2.216e+05,2.373e+04,2.466e+05
59.8,1.033e+03,2.043e+05,2.299e+04,2.283e+05
61.3,9.412e+02,1.928e+05,2.266e+04,2.164e+05
62.7,8.882e+02,1.848e+05,2.222e+04,2.079e+05
64.2,1.050e+03,1.816e+05,2.143e+04,2.041e+05
65.6,1.871e+03,1.786e+05,2.026e+04,2.007e+05
67.1,3.799e+03,1.711e+05,1.760e+04,1.925e+05
68.6,6.579e+03,1.602e+05,1.447e+04,1.813e+05
70.0,7.437e+03,1.478e+05,1.243e+04,1.677e+05
71.5,6.052e+03,1.344e+05,1.273e+04,1.531e+05
72.9,4.441e+03,1.187e+05,1.449e+04,1.376e+05
74.4,2.974e+03,1.047e+05,1.938e+04,1.270e+05
75.9,2.631e+03,9.987e+04,2.554e+04,1.280e+05
77.3,2.662e+03,1.011e+05,3.079e+04,1.346e+05
78.8,2.546e+03,1.087e+05,3.822e+04,1.494e+05
80.2,2.541e+03,1.269e+05,4.702e+04,1.765e+05
81.7,2.440e+03,1.403e+05,4.962e+04,1.924e+05
83.1,2.143e+03,1.463e+05,4.815e+04,1.966e+05
84.6,2.206e+03,1.481e+05,4.299e+04,1.933e+05
86.1,3.562e+03,1.301e+05,3.296e+04,1.666e+05
87.5,6.976e+03,1.037e+05,2.403e+04,1.347e+05
89.0,1.116e+04,7.665e+04,1.675e+04,1.046e+05
90.4,1.454e+04,6.112e+04,1.284e+04,8.849e+04
91.9,1.731e+04,7.017e+04,1.361e+04,1.011e+05
93.4,2.039e+04,8.974e+04,1.474e+04,1.249e+05
94.8,2.358e+04,1.233e+05,1.589e+04,1.627e+05
96.3,2.562e+04,1.918e+05,1.304e+04,2.305e+05
97.7,2.214e+04,2.876e+05,7.165e+03,3.169e+05
99.2,1.709e+04,3.723e+05,5.685e+03,3.951e+05
100.6,1.314e+04,4.132e+05,7.351e+03,4.337e+05
102.1,9.366e+03,4.174e+05,8.066e+03,4.348e+05
103.6,7.051e+03,4.081e+05,8.531e+03,4.237e+05
105.0,5.408e+03,3.646e+05,8.191e+03,3.782e+05
106.5,4.111e+03,3.285e+05,7.952e+03,3.406e+05
107.9,3.688e+03,2.930e+05,8.146e+03,3.048e+05
109.4,4.148e+03,2.568e+05,7.861e+03,2.688e+05
110.9,4.887e+03,2.261e+05,6.761e+03,2.378e+05
112.3,5.214e+03,2.114e+05,5.054e+03,2.216e+05
113.8,4.734e+03,2.080e+05,3.830e+03,2.166e+05
115.2,4.071e+03,2.110e+05,3.482e+03,2.185e+05
116.7,3.194e+03,2.374e+05,4.273e+03,2.449e+05
118.2,2.699e+03,2.790e+05,5.794e+03,2.875e+05
119.6,2.690e+03,3.067e+05,7.651e+03,3.170e+05
121.1,2.941e+03,3.252e+05,9.952e+03,3.381e+05
122.5,3.729e+03,3.376e+05,1.193e+04,3.533e+05
124.0,5.528e+03,3.391e+05,1.261e+04,3.572e+05
125.4,1.056e+04,4.428e+05,1.606e+04,4.694e+05
126.9,8.992e+03,4.938e+05,1.722e+04,5.200e+05
128.4,4.766e+03,4.747e+05,1.644e+04,4.959e+05
129.8,3.853e+03,4.698e+05,1.602e+04,4.897e+05
131.3,6.022e+03,4.956e+05,1.571e+04,5.173e+05
132.7,4.916e+03,3.565e+05,1.066e+04,3.720e+05
134.2,1.942e+03,5.428e+04,1.729e+03,5.795e+04
135.7,1.412e+03,5.878e+03,3.202e+02,7.611e+03
137.1,1.191e+03,3.675e+03,2.392e+02,5.106e+03
138.6,9.155e+02,2.755e+03,1.933e+02,3.864e+03
140.0,6.165e+02,3.157e+03,2.201e+02,3.994e+03
141.5,3.668e+02,3.782e+03,2.499e+02,4.399e+03
143.0,4.128e+02,4.561e+03,2.865e+02,5.260e+03
144.4,7.533e+02,4.617e+03,3.117e+02,5.682e+03
145.9,1.457e+03,5.201e+03,3.513e+02,7.010e+03
147.3,2.368e+03,5.948e+03,3.989e+02,8.715e+03
148.8,3.361e+03,7.917e+03,4.923e+02,1.177e+04
150.2,4.414e+03,1.015e+04,5.967e+02,1.516e+04
151.7,5.277e+03,1.014e+04,5.720e+02,1.599e+04
153.2,5.634e+03,1.017e+04,5.620e+02,1.636e+04
154.6,6.279e+03,1.128e+04,6.241e+02,1.818e+04
156.1,7.138e+03,1.253e+04,6.820e+02,2.035e+04
157.5,7.919e+03,1.382e+04,7.374e+02,2.248e+04
159.0,9.524e+03,1.533e+04,7.640e+02,2.562e+04
160.5,1.145e+04,1.627e+04,7.880e+02,2.851e+04
161.9,1.310e+04,1.683e+04,8.129e+02,3.074e+04
163.4,1.393e+04,1.813e+04,8.520e+02,3.291e+04
164.8,1.302e+04,1.975e+04,9.080e+02,3.367e+04
166.3,1.326e+04,2.272e+04,1.001e+03,3.699e+04
167.7,1.341e+04,2.696e+04,1.132e+03,4.150e+04
169.2,1.200e+04,3.366e+04,1.349e+03,4.701e+04
170.7,1.000e+04,4.919e+04,1.866e+03,6.106e+04
172.1,9.433e+03,8.141e+04,3.101e+03,9.395e+04
173.6,9.230e+03,1.076e+05,4.107e+03,1.210e+05
175.0,8.347e+03,1.157e+05,4.351e+03,1.284e+05
176.5,8.183e+03,1.252e+05,4.672e+03,1.380e+05
178.0,9.287e+03,1.310e+05,4.964e+03,1.452e+05
179.4,1.186e+04,1.362e+05,5.235e+03,1.533e+05
180.9,1.571e+04,1.377e+05,5.395e+03,1.588e+05
182.3,1.991e+04,1.359e+05,5.401e+03,1.612e+05
183.8,2.455e+04,1.241e+05,4.916e+03,1.536e+05
185.3,2.754e+04,1.092e+05,4.350e+03,1.411e+05
186.7,2.962e+04,9.616e+04,3.877e+03,1.297e+05
188.2,3.438e+04,8.610e+04,3.516e+03,1.240e+05
189.6,3.703e+04,7.814e+04,3.261e+03,1.184e+05
191.1,3.696e+04,6.866e+04,2.889e+03,1.085e+05
192.5,3.626e+04,5.584e+04,2.420e+03,9.451e+04
194.0,3.490e+04,4.557e+04,2.075e+03,8.254e+04
195.5,3.216e+04,3.619e+04,1.708e+03,7.005e+04
196.9,2.814e+04,2.844e+04,1.420e+03,5.800e+04
198.4,2.498e+04,2.527e+04,1.338e+03,5.159e+04
199.8,2.134e+04,2.137e+04,1.209e+03,4.392e+04
