freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.476e+00,2.564e+02,7.372e+00,2.723e+02
1.6,1.092e+01,1.475e+02,1.220e+01,1.706e+02
3.2,8.316e+00,5.211e+01,1.047e+01,7.089e+01
4.8,9.072e+00,8.874e+02,1.093e+01,9.074e+02
6.5,9.852e+00,2.689e+03,1.027e+01,2.709e+03
8.1,1.078e+01,4.553e+03,9.982e+00,4.573e+03
9.7,1.062e+01,6.356e+03,1.046e+01,6.377e+03
11.3,1.338e+01,7.045e+03,1.096e+01,7.069e+03
12.9,1.667e+01,9.687e+03,1.054e+01,9.714e+03
14.5,2.068e+01,1.327e+04,9.995e+00,1.330e+04
16.2,2.762e+01,1.629e+04,1.027e+01,1.633e+04
17.8,3.431e+01,1.902e+04,1.047e+01,1.906e+04
19.4,4.595e+01,2.287e+04,1.037e+01,2.293e+04
21.0,9.430e+01,2.822e+04,1.148e+01,2.833e+04
22.6,1.640e+02,3.553e+04,1.293e+01,3.571e+04
24.2,1.642e+02,4.573e+04,1.455e+01,4.591e+04
25.9,1.701e+02,5.625e+04,1.758e+01,5.644e+04
27.5,2.320e+02,6.309e+04,1.817e+01,6.334e+04
29.1,3.593e+02,7.519e+04,1.537e+01,7.557e+04
30.7,5.014e+02,9.946e+04,2.005e+01,9.998e+04
32.3,6.029e+02,1.330e+05,2.366e+01,1.336e+05
33.9,7.729e+02,1.726e+05,2.861e+01,1.734e+05
35.5,1.108e+03,2.035e+05,3.626e+01,2.047e+05
37.2,1.969e+03,2.249e+05,9.453e+01,2.270e+05
38.8,3.258e+03,2.655e+05,1.816e+02,2.689e+05
40.4,4.727e+03,2.944e+05,1.851e+02,2.993e+05
42.0,5.386e+03,2.713e+05,1.818e+02,2.769e+05
43.6,3.809e+03,1.899e+05,1.838e+02,1.939e+05
45.2,2.799e+03,1.345e+05,1.680e+02,1.375e+05
46.9,1.765e+03,8.840e+04,1.257e+02,9.029e+04
48.5,1.664e+03,8.475e+04,1.327e+02,8.655e+04
50.1,2.271e+03,8.309e+04,1.480e+02,8.551e+04
51.7,2.496e+03,7.179e+04,3.989e+02,7.469e+04
53.3,2.512e+03,6.890e+04,6.812e+02,7.209e+04
54.9,2.700e+03,7.820e+04,5.465e+02,8.144e+04
56.5,3.349e+03,8.718e+04,6.654e+02,9.119e+04
58.2,4.213e+03,8.680e+04,8.696e+02,9.189e+04
59.8,8.364e+03,8.235e+04,1.250e+03,9.196e+04
61.4,1.726e+04,7.876e+04,2.128e+03,9.816e+04
63.0,2.796e+04,6.584e+04,3.462e+03,9.727e+04
64.6,2.450e+04,5.780e+04,5.079e+03,8.738e+04
66.2,1.062e+04,7.405e+04,7.189e+03,9.187e+04
67.9,3.994e+03,9.689e+04,1.084e+04,1.117e+05
69.5,2.346e+03,1.041e+05,1.429e+04,1.207e+05
71.1,2.989e+03,9.619e+04,1.522e+04,1.144e+05
72.7,5.459e+03,9.732e+04,1.560e+04,1.184e+05
74.3,5.941e+03,9.058e+04,1.295e+04,1.095e+05
75.9,5.008e+03,7.350e+04,9.799e+03,8.830e+04
77.6,5.429e+03,5.795e+04,8.949e+03,7.233e+04
79.2,8.309e+03,5.689e+04,1.184e+04,7.704e+04
80.8,1.057e+04,5.781e+04,1.579e+04,8.417e+04
82.4,1.077e+04,5.872e+04,2.066e+04,9.015e+04
84.0,7.103e+03,6.082e+04,2.541e+04,9.334e+04
85.6,5.066e+03,5.320e+04,2.488e+04,8.315e+04
87.2,5.208e+03,4.930e+04,2.808e+04,8.258e+04
88.9,3.709e+03,4.440e+04,2.693e+04,7.504e+04
90.5,2.059e+03,3.750e+04,2.314e+04,6.270e+04
92.1,1.874e+03,2.955e+04,1.819e+04,4.961e+04
93.7,1.775e+03,1.963e+04,1.560e+04,3.700e+04
95.3,1.453e+03,1.249e+04,1.520e+04,2.914e+04
96.9,1.405e+03,9.078e+03,1.308e+04,2.356e+04
98.6,1.479e+03,7.922e+03,9.470e+03,1.887e+04
100.2,1.821e+03,6.881e+03,6.678e+03,1.538e+04
101.8,2.286e+03,6.588e+03,4.710e+03,1.358e+04
103.4,2.872e+03,7.041e+03,3.472e+03,1.338e+04
105.0,3.173e+03,7.456e+03,2.643e+03,1.327e+04
106.6,3.567e+03,8.134e+03,2.168e+03,1.387e+04
108.2,3.602e+03,8.747e+03,1.996e+03,1.435e+04
109.9,4.416e+03,1.094e+04,1.903e+03,1.726e+04
111.5,7.001e+03,1.549e+04,1.991e+03,2.448e+04
113.1,7.879e+03,2.212e+04,2.683e+03,3.268e+04
114.7,7.569e+03,3.443e+04,4.398e+03,4.640e+04
116.3,7.448e+03,5.328e+04,6.697e+03,6.743e+04
117.9,7.024e+03,7.585e+04,8.593e+03,9.146e+04
119.6,5.929e+03,9.044e+04,8.418e+03,1.048e+05
121.2,5.109e+03,1.018e+05,7.536e+03,1.144e+05
122.8,4.342e+03,1.138e+05,7.353e+03,1.255e+05
124.4,4.491e+03,1.072e+05,7.808e+03,1.195e+05
126.0,4.961e+03,8.855e+04,7.736e+03,1.012e+05
127.6,4.925e+03,8.263e+04,6.690e+03,9.425e+04
129.3,4.984e+03,8.997e+04,4.801e+03,9.975e+04
130.9,3.732e+03,8.460e+04,3.308e+03,9.164e+04
132.5,2.313e+03,6.138e+04,2.059e+03,6.576e+04
134.1,7.826e+02,2.728e+04,7.512e+02,2.881e+04
135.7,4.418e+02,1.929e+04,4.500e+02,2.019e+04
137.3,6.140e+02,2.078e+04,4.391e+02,2.183e+04
138.9,7.009e+02,2.021e+04,3.801e+02,2.129e+04
140.6,1.112e+03,1.882e+04,3.353e+02,2.027e+04
142.2,1.279e+03,1.923e+04,3.382e+02,2.085e+04
143.8,1.379e+03,1.848e+04,2.989e+02,2.015e+04
145.4,1.500e+03,1.679e+04,2.705e+02,1.856e+04
147.0,1.577e+03,1.483e+04,2.379e+02,1.664e+04
148.6,1.709e+03,1.244e+04,2.005e+02,1.435e+04
150.3,1.792e+03,1.115e+04,1.788e+02,1.312e+04
151.9,1.854e+03,1.136e+04,1.758e+02,1.339e+04
153.5,1.760e+03,1.118e+04,1.834e+02,1.312e+04
155.1,1.356e+03,1.130e+04,1.759e+02,1.284e+04
156.7,1.153e+03,1.213e+04,1.765e+02,1.346e+04
158.3,1.199e+03,1.301e+04,1.885e+02,1.440e+04
159.9,1.412e+03,1.179e+04,1.638e+02,1.337e+04
161.6,1.677e+03,9.994e+03,1.454e+02,1.182e+04
163.2,1.850e+03,9.130e+03,1.432e+02,1.112e+04
164.8,2.262e+03,8.644e+03,1.484e+02,1.105e+04
166.4,2.737e+03,7.926e+03,1.697e+02,1.083e+04
168.0,2.913e+03,7.343e+03,1.753e+02,1.043e+04
169.6,3.590e+03,6.786e+03,1.865e+02,1.056e+04
171.3,4.308e+03,6.074e+03,1.944e+02,1.058e+04
172.9,3.703e+03,5.830e+03,1.546e+02,9.688e+03
174.5,3.220e+03,5.527e+03,1.291e+02,8.876e+03
176.1,4.450e+03,5.014e+03,1.679e+02,9.633e+03
177.7,4.475e+03,5.992e+03,1.558e+02,1.062e+04
179.3,4.948e+03,7.504e+03,1.718e+02,1.262e+04
181.0,6.749e+03,8.772e+03,2.326e+02,1.575e+04
182.6,7.508e+03,9.575e+03,2.362e+02,1.732e+04
184.2,7.681e+03,8.934e+03,2.243e+02,1.684e+04
185.8,7.742e+03,8.743e+03,2.278e+02,1.671e+04
187.4,8.107e+03,1.028e+04,2.473e+02,1.864e+04
189.0,8.804e+03,1.205e+04,2.775e+02,2.113e+04
190.6,9.544e+03,1.322e+04,3.062e+02,2.307e+04
192.3,8.873e+03,1.383e+04,2.837e+02,2.299e+04
