freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.225e+03,1.423e+01,3.890e+00,1.243e+03
1.6,6.959e+02,5.025e+01,1.136e+01,7.575e+02
3.2,7.561e+01,6.411e+01,1.263e+01,1.524e+02
4.8,8.660e+02,5.868e+01,1.210e+01,9.368e+02
6.5,2.576e+03,6.210e+01,1.141e+01,2.650e+03
8.1,4.108e+03,6.291e+01,1.358e+01,4.185e+03
9.7,5.902e+03,6.622e+01,1.368e+01,5.982e+03
11.3,8.058e+03,6.083e+01,1.537e+01,8.134e+03
12.9,1.041e+04,6.082e+01,1.619e+01,1.049e+04
14.5,1.351e+04,6.398e+01,1.362e+01,1.359e+04
16.2,1.724e+04,6.099e+01,1.350e+01,1.732e+04
17.8,2.143e+04,5.771e+01,1.365e+01,2.151e+04
19.4,2.602e+04,6.414e+01,1.311e+01,2.610e+04
21.0,3.177e+04,7.673e+01,1.300e+01,3.186e+04
22.6,3.756e+04,7.967e+01,1.367e+01,3.765e+04
24.2,4.302e+04,7.638e+01,1.435e+01,4.311e+04
25.9,5.073e+04,7.685e+01,1.501e+01,5.083e+04
27.5,6.026e+04,8.574e+01,1.529e+01,6.036e+04
29.1,7.095e+04,9.677e+01,1.593e+01,7.106e+04
30.7,8.430e+04,1.224e+02,2.132e+01,8.444e+04
32.3,9.880e+04,1.491e+02,3.056e+01,9.898e+04
33.9,1.153e+05,1.652e+02,3.140e+01,1.155e+05
35.5,1.351e+05,1.916e+02,2.331e+01,1.353e+05
37.2,1.580e+05,2.613e+02,2.407e+01,1.583e+05
38.8,1.879e+05,3.547e+02,4.128e+01,1.883e+05
40.4,2.210e+05,4.402e+02,6.175e+01,2.215e+05
42.0,2.598e+05,4.778e+02,4.541e+01,2.604e+05
43.6,3.012e+05,4.724e+02,3.253e+01,3.017e+05
45.2,3.536e+05,4.559e+02,3.603e+01,3.541e+05
46.9,4.294e+05,4.774e+02,5.440e+01,4.300e+05
48.5,5.441e+05,6.053e+02,6.467e+01,5.448e+05
50.1,7.051e+05,8.222e+02,6.394e+01,7.060e+05
51.7,9.094e+05,1.152e+03,1.909e+02,9.107e+05
53.3,1.211e+06,2.040e+03,7.606e+02,1.214e+06
54.9,1.788e+06,3.772e+03,1.618e+03,1.793e+06
56.5,2.838e+06,6.343e+03,2.130e+03,2.846e+06
58.2,4.349e+06,9.248e+03,2.069e+03,4.360e+06
59.8,5.037e+06,1.139e+04,1.898e+03,5.050e+06
61.4,4.484e+06,1.106e+04,2.174e+03,4.498e+06
63.0,3.802e+06,9.503e+03,2.084e+03,3.814e+06
64.6,3.445e+06,9.105e+03,2.045e+03,3.456e+06
66.2,2.799e+06,7.856e+03,2.399e+03,2.809e+06
67.9,2.386e+06,6.443e+03,3.279e+03,2.396e+06
69.5,2.084e+06,5.998e+03,4.961e+03,2.095e+06
71.1,1.737e+06,5.140e+03,5.303e+03,1.747e+06
72.7,1.446e+06,4.283e+03,4.081e+03,1.454e+06
74.3,1.229e+06,3.487e+03,2.471e+03,1.235e+06
75.9,9.796e+05,3.323e+03,8.470e+02,9.838e+05
