freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.053e+02,3.781e+01,1.845e+01,7.616e+02
1.5,4.037e+02,3.335e+01,4.513e+01,4.822e+02
2.9,1.762e+01,1.848e+01,2.748e+01,6.359e+01
4.4,2.288e+02,3.388e+01,2.180e+01,2.844e+02
5.8,1.060e+03,3.453e+01,1.946e+01,1.114e+03
7.3,1.786e+03,8.642e+01,1.979e+01,1.892e+03
8.8,2.460e+03,2.678e+02,2.236e+01,2.751e+03
10.2,3.326e+03,2.244e+02,2.459e+01,3.575e+03
11.7,4.282e+03,5.380e+01,2.640e+01,4.362e+03
13.2,5.468e+03,2.842e+01,2.628e+01,5.523e+03
14.6,6.806e+03,2.641e+01,2.701e+01,6.860e+03
16.1,8.177e+03,2.577e+01,2.472e+01,8.228e+03
17.5,9.837e+03,2.504e+01,2.196e+01,9.884e+03
19.0,1.176e+04,2.620e+01,2.044e+01,1.181e+04
20.5,1.399e+04,2.290e+01,2.132e+01,1.403e+04
21.9,1.640e+04,1.980e+01,2.110e+01,1.644e+04
23.4,1.862e+04,2.237e+01,2.256e+01,1.866e+04
24.8,2.145e+04,2.654e+01,3.781e+01,2.152e+04
26.3,2.454e+04,2.874e+01,5.396e+01,2.462e+04
27.8,2.792e+04,2.579e+01,5.768e+01,2.800e+04
29.2,3.171e+04,2.665e+01,5.378e+01,3.179e+04
30.7,3.624e+04,2.857e+01,4.460e+01,3.632e+04
32.1,4.099e+04,2.707e+01,4.151e+01,4.106e+04
33.6,4.655e+04,2.569e+01,3.962e+01,4.661e+04
35.1,5.275e+04,2.636e+01,3.899e+01,5.282e+04
36.5,5.982e+04,2.469e+01,3.583e+01,5.988e+04
38.0,6.904e+04,2.822e+01,3.295e+01,6.910e+04
39.5,7.800e+04,2.877e+01,3.792e+01,7.806e+04
40.9,9.097e+04,2.709e+01,3.472e+01,9.103e+04
42.4,1.063e+05,3.442e+01,2.312e+01,1.064e+05
43.8,1.193e+05,3.737e+01,2.528e+01,1.193e+05
45.3,1.370e+05,4.372e+01,3.171e+01,1.371e+05
46.8,1.636e+05,5.256e+01,4.103e+01,1.636e+05
48.2,1.946e+05,5.826e+01,5.078e+01,1.947e+05
49.7,2.230e+05,5.344e+01,4.955e+01,2.231e+05
51.1,2.650e+05,5.522e+01,4.016e+01,2.651e+05
52.6,3.321e+05,6.093e+01,5.085e+01,3.322e+05
54.1,4.205e+05,1.037e+02,1.408e+02,4.207e+05
55.5,5.366e+05,2.051e+02,2.993e+02,5.371e+05
57.0,6.794e+05,6.126e+02,9.263e+02,6.809e+05
58.5,9.064e+05,2.155e+03,3.078e+03,9.116e+05
59.9,1.315e+06,4.615e+03,6.236e+03,1.326e+06
