freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.430e+02,3.976e+01,2.631e+01,9.091e+02
1.5,4.813e+02,3.265e+01,3.501e+01,5.490e+02
2.9,2.043e+01,1.720e+01,2.742e+01,6.505e+01
4.4,2.247e+02,3.100e+01,2.815e+01,2.838e+02
5.9,1.053e+03,3.381e+01,3.239e+01,1.120e+03
7.3,1.787e+03,6.582e+01,3.725e+01,1.891e+03
8.8,2.447e+03,2.280e+02,4.081e+01,2.716e+03
10.3,3.315e+03,2.063e+02,4.729e+01,3.569e+03
11.7,4.310e+03,4.792e+01,5.242e+01,4.410e+03
13.2,5.472e+03,2.247e+01,5.114e+01,5.545e+03
14.7,6.808e+03,1.929e+01,5.821e+01,6.886e+03
16.1,8.276e+03,1.929e+01,6.214e+01,8.357e+03
17.6,9.984e+03,2.100e+01,5.528e+01,1.006e+04
19.1,1.195e+04,2.016e+01,5.581e+01,1.203e+04
20.5,1.432e+04,1.897e+01,6.640e+01,1.441e+04
22.0,1.679e+04,1.793e+01,7.686e+01,1.689e+04
23.5,1.896e+04,1.951e+01,8.993e+01,1.907e+04
24.9,2.196e+04,2.155e+01,1.188e+02,2.210e+04
26.4,2.546e+04,2.147e+01,1.690e+02,2.565e+04
27.9,2.915e+04,2.138e+01,2.110e+02,2.938e+04
29.3,3.302e+04,1.988e+01,2.215e+02,3.327e+04
30.8,3.739e+04,1.868e+01,2.189e+02,3.763e+04
32.3,4.217e+04,1.748e+01,2.200e+02,4.241e+04
33.7,4.807e+04,1.708e+01,2.365e+02,4.832e+04
35.2,5.500e+04,1.899e+01,2.735e+02,5.529e+04
36.7,6.298e+04,2.262e+01,3.186e+02,6.332e+04
38.1,7.281e+04,2.989e+01,3.707e+02,7.321e+04
39.6,8.262e+04,3.518e+01,4.154e+02,8.307e+04
41.1,9.700e+04,5.240e+01,4.827e+02,9.754e+04
42.5,1.137e+05,7.845e+01,4.029e+02,1.142e+05
44.0,1.282e+05,8.561e+01,2.661e+02,1.286e+05
45.5,1.479e+05,9.229e+01,2.596e+02,1.483e+05
46.9,1.742e+05,1.070e+02,3.684e+02,1.747e+05
48.4,2.032e+05,1.249e+02,5.293e+02,2.039e+05
49.9,2.313e+05,1.486e+02,6.813e+02,2.321e+05
51.3,2.759e+05,1.791e+02,8.973e+02,2.770e+05
52.8,3.428e+05,2.243e+02,1.092e+03,3.441e+05
54.3,4.293e+05,2.950e+02,1.218e+03,4.309e+05
55.7,5.440e+05,4.221e+02,1.504e+03,5.460e+05
57.2,6.880e+05,7.777e+02,2.015e+03,6.908e+05
58.7,9.356e+05,2.278e+03,4.356e+03,9.422e+05
60.1,1.356e+06,4.652e+03,9.595e+03,1.370e+06
61.6,1.808e+06,5.998e+03,1.388e+04,1.827e+06
63.1,2.205e+06,8.029e+03,1.722e+04,2.230e+06
64.5,2.743e+06,1.189e+04,2.315e+04,2.778e+06
66.0,3.336e+06,1.839e+04,3.346e+04,3.388e+06
67.5,3.531e+06,2.679e+04,4.364e+04,3.601e+06
68.9,3.383e+06,3.754e+04,5.551e+04,3.477e+06
70.4,2.998e+06,5.576e+04,7.814e+04,3.132e+06
71.9,2.558e+06,8.854e+04,1.138e+05,2.761e+06
73.3,2.236e+06,1.259e+05,1.440e+05,2.506e+06
74.8,1.948e+06,1.493e+05,1.533e+05,2.250e+06
76.3,1.692e+06,1.526e+05,1.416e+05,1.987e+06
